settlement_period,name,p_from_mw,q_from_mvar,p_to_mw
3,spine:AMEM_1-SUND_1,-178.72663501038187,36.06871492340558,178.79890551437603
3,spine:AMEM_1-WATFS_1,291.1384101243194,60.361287116119655,-290.86540607763476
3,spine:ARBR_P-BRID_P,-137.8530011558099,-64.73325074402723,137.90757356281148
3,spine:ARBR_P-LUNA_P,-41.79500406843893,-3.4089935118653587,41.7993472495548
3,spine:ARBR_P-MILC_P,170.45582090701075,62.62226444895741,-170.3569874513405
3,spine:ARDK_P-CLAC_P,97.94087983961319,85.58672746940623,-97.93540704097121
3,spine:ARDK_P-PORA_P,71.9161872877163,18.910616820038964,-71.88423745747914
3,spine:ARDK_P-TAYN_P,-168.61241093014488,-105.07456403872833,168.72925211663997
3,spine:ARMO_P-DUGR_P,0.2326794234247822,-0.8712204192184249,-0.23264404897048346
3,spine:AXMI1-CHIC_1,199.60577772063056,266.4052569172338,-199.33311107269145
3,spine:AXMI1-EXET1,-166.75590221821926,-171.73821423435248,166.86412422351194
3,spine:AXMI1-TAUN1,-85.64170821328234,-104.67225075426634,85.67013464657325
3,spine:AYRR-COYL,-25.965285135109717,81.12971261600518,25.97620456835109
3,spine:AYRR-KILS,-72.09425365016793,-14.45476503199537,72.10632517267614
3,spine:AYRR-KILT,-86.08468473277846,-41.55683739875696,86.10511604942086
3,spine:AYRR-MAYB,261.76636752436576,66.61408837923975,-261.6160576743473
3,spine:AYRR-SACO,-91.09611189783993,-92.55007552157262,91.15005634436535
3,spine:BAGA-DRCR,-161.09355640104803,-14.081189723087508,161.1132689835804
3,spine:BAGA-GRMO,-105.45264514407016,-93.62399248804047,105.48409209475848
3,spine:BAGA-NEAR,250.71215633670815,104.98214854231138,-250.51261124370825
3,spine:BAIN-BONN,69.04454296533315,-97.3671939811562,-69.03325767369658
3,spine:BAIN-DEVO,-95.01056620320547,-75.03438170291561,95.03725931243012
3,spine:BAIN-GRMO,16.43757668629724,170.7516765426149,-16.417865642916222
3,spine:BARKC1-HURS_1,-19.155298380102963,-31.14337633377194,19.15742908891797
3,spine:BARKC1-LITT_C,-202.5351175757764,-55.63974660486799,202.62191182212854
3,spine:BARKC1-REBR_3,116.13000064139871,46.107224092592766,-116.10511770429386
3,spine:BARKC1-WARL_1,-183.62940773404293,-42.18764828921312,183.7138892144017
3,spine:BARKC1-WHAM_1,247.89061471751265,71.41267735825248,-247.8001510817096
3,spine:BEAU_P-FASN_P,-59.099263033420044,-54.93118606653251,59.11726047007626
3,spine:BEAU_P-GRUB_P,-42.64747515086446,-92.5138414836432,42.67843705239898
3,spine:BEAU_P-INNE_P,-89.07742472484672,-120.45306019612094,89.12005257363822
3,spine:BEDDT1-BEDD_1,35.26875838291032,0.08780262290500294,-35.26693015519589
3,spine:BEDDT1-HURS_1,-164.44962029690316,-56.40495071804199,164.52629229517666
3,spine:BEDDT1-NEWX_6,79.0247540988901,37.881789972366015,-79.01692718239566
3,spine:BEDDT1-WIMBN1,-0.10464788293540923,5.821605809405681,0.10475672243221695
3,spine:BEDD_1-CHSI_1,-142.16040143363207,-20.7008947666119,142.21100944638522
3,spine:BEDD_1-WIMBN1,-38.86222862796294,5.692102321664279,38.8643191199119
3,spine:BERW-BLYTB1,78.18809415195066,63.35883057428138,-78.02833947867465
3,spine:BERW-DUNB,-162.80344193143824,-71.49674218927072,162.9723094171782
3,spine:BERW-ECCL,75.0926238301273,5.204122721601361,-75.07584158654196
